,depth,num_parameters,feature_set,mean_train_r,mean_dev_r,mean_training_time
0,deep,6167553,full,0.20770665303159624,0.1270139471169658,276
1,deep,6167553,pca,0.227563982509569,0.16810289835210385,237
2,deep,6057985,pca_reduced,0.17800693174740814,0.11588018778087239,269
3,moderate,3541505,full,0.37578241892606334,0.17843137979565293,84
4,moderate,3541505,pca,0.38665920003115944,0.2101075431966848,85
5,moderate,3431937,pca_reduced,0.3596129914674567,0.19139802502210784,88
6,shallow,284161,full,0.4580041953652181,0.2074070222938799,35
7,shallow,284161,pca,0.4407146079157614,0.19309462151777054,20
8,shallow,229377,pca_reduced,0.3741419380566987,0.14946810853087872,20
