,0,1,2
12,deep,reduced,"[11.602904472945902, 7.1486648508750035, 6.226159373037875, 5.920807466997114, 6.118368114694929]"
13,deep,reduced,"[12.62376360156572, 6.79595016016479, 6.405769310642919, 6.2386850804331875, 5.604823467977095, 2.5388220677214455, 2.5277130934049916, 2.5207362950105345, 2.5070693105420863, 2.501803674548808, 2.4870075629071673, 2.4763142157896727, 2.4652518171769975, 2.4525306066009622]"
14,deep,reduced,"[13.287243495277322, 8.778772125976126, 7.486009754389964, 5.570889090185099, 5.511346872059874, 5.094274936152952, 2.550368514846739, 2.527267338045522, 2.527130553872352, 2.522150446135833, 2.519774038798334, 2.5134775190654417, 2.508328908380034, 2.5017578780321736, 2.4897807314884797, 2.4840413449381042, 2.4727875746385615, 2.4655230524285305, 2.461331137303517, 2.4545751480806803, 2.4670307325853025]"
15,moderate,full,"[6.37464129230868, 2.7343031110865335, 2.5034161458612076, 2.473277488850995, 2.452998894014056, 2.436946044221941, 2.4175261562177917, 2.4048324480396768, 2.405310133261302, 2.390258939520126]"
16,moderate,full,"[5.9639602068939395, 2.6786547549044677, 2.504137073383587, 2.4680337732632833, 2.4526378547619223]"
17,moderate,full,"[6.910733281343388, 2.537365394324035, 2.4710233773139176, 2.4505159552241156, 2.430388369176563, 2.4142994066938193]"
18,moderate,full,"[7.467026105196685, 2.5134957171471815, 2.474562876681648, 2.4599431282944653, 2.437842212585251, 2.4224193216895147, 2.4056366463774457, 2.4037186036129055]"
19,moderate,full,"[6.907567309553623, 2.503644609205855, 2.4686949202550745, 2.443573210441717, 2.4259648463284074, 2.4180176724962386, 2.410427047233417, 2.3988369587521507]"
20,moderate,pca,"[11.265543354666573, 2.5328053652622096, 2.482446540503776, 2.4621313795098816, 2.443094386627452, 2.42975410013933, 2.418659486053082, 2.403609256958783, 2.397589069412222]"
21,moderate,pca,"[6.329471119003665, 2.5008033319927616, 2.4769273931293805, 2.4504338602052034, 2.439946089836896, 2.4291245230447425, 2.419632503910742, 2.4088432224339518]"
22,moderate,pca,"[5.306622717691112, 2.6992235993122624, 2.5062707039691077, 2.4714103758574235, 2.4550785448718835, 2.43201616817235, 2.4234949793680984, 2.4106390386352876]"
23,moderate,pca,"[5.0542162093628225, 2.561217653481571, 2.4830970096061162, 2.462732495912207, 2.4459640363823607, 2.4276195548790045, 2.4232965687115144, 2.4015199048054785, 2.40450460049415, 2.3926383820609476]"
24,moderate,pca,"[15.894481559749375, 5.333765685463573, 2.726795257495883, 2.54131166341763, 2.502059824478797, 2.4892485810755494, 2.482488056756322, 2.4679836774971435, 2.461192283016052]"
25,moderate,reduced,"[9.91541201730309, 2.560306067019532, 2.485513956611211, 2.4779303743606276, 2.453522406513384]"
26,moderate,reduced,"[8.759960581375445, 2.5470017310519264, 2.490834704445959, 2.4748158322069287, 2.461930085497218, 2.445391241060903, 2.4350145806804955, 2.4212018482871516, 2.41855314046643, 2.4178985237362403]"
27,moderate,reduced,"[11.117305120000795, 2.6859480436668832, 2.5177738156887868, 2.4956661845830848, 2.4857349020374886, 2.467660875687149, 2.458895023743847, 2.4460165531862135, 2.4404236273079416]"
28,moderate,reduced,"[4.04092418023165, 2.5095379391551047, 2.472969662167719, 2.456148006365433, 2.4485119286695913, 2.4347274714185416, 2.427144833963163, 2.424114891676238, 2.4234318513222712, 2.4093767744019865, 2.4047218719715158, 2.3962255443724305, 2.3929916277632706]"
29,moderate,reduced,"[8.468370123270846, 2.5886887687222258, 2.5026253052081215, 2.484805941175669, 2.4676010162642124, 2.4507305203952434, 2.444935507078101, 2.435255580464208, 2.424497952983522]"
30,shallow,full,"[19.033286043556497, 3.789690082200082, 2.4954227699878655, 2.459700641746859, 2.43354575688685, 2.4209274163028507, 2.398643098116805, 2.3861476176891885, 2.380557971036404]"
31,shallow,full,"[3.119219180898946, 2.4620048245061907, 2.4356030699035687, 2.4126408197220894, 2.4008316458440118, 2.382334557013439, 2.3702136641708766, 2.3631318926982665]"
32,shallow,full,"[20.02877429749637, 5.042752485670136, 2.908319022182476, 2.608285831399874, 2.5215742965134744, 2.5004510110174083, 2.4866251310603045, 2.4764778419497806, 2.4599974994790808, 2.4459964407987322, 2.431055590346818, 2.4127103292683074, 2.40789570818156]"
33,shallow,full,"[3.9856485733788465, 2.4636127397064977, 2.42853642403335, 2.4113422276240835, 2.3972758714801365, 2.386221449197029, 2.3708165236763206, 2.3647629923232527]"
34,shallow,full,"[16.84321402411576, 2.9156125407009226, 2.522204039811673, 2.4587422875973273, 2.4355035396755964, 2.4013913546185304, 2.3891750588639753, 2.379806538713158, 2.3669669927362147]"
35,shallow,pca,"[8.190169023606627, 2.781949493924924, 2.505334625164012, 2.4502002589410785, 2.4154631731846017, 2.392364108330566, 2.3776834496361023, 2.366296302143409]"
36,shallow,pca,"[16.808533218065584, 3.9938172888912806, 2.4704447995974794, 2.4436908653814546, 2.4209828132955393, 2.4078218601787853, 2.387911822972548, 2.372719403788031, 2.359239586079457]"
37,shallow,pca,"[7.863091275148952, 2.6753379393919676, 2.4926628036165517, 2.449186106398053, 2.4207194261317735, 2.4018866687925096]"
38,shallow,pca,"[11.922694750281885, 2.693608331351843, 2.4890887422715404, 2.454481767205843, 2.4260558929534315, 2.403530253314402, 2.384443798484597, 2.3706179856983325, 2.3636743970574567, 2.3484783138769343]"
39,shallow,pca,"[19.685183852241, 4.90227103742262, 2.5080806111578378, 2.474017487333126, 2.458947040890142, 2.439142288947645, 2.4196474917064363, 2.4042479431012875]"
40,shallow,reduced,"[10.293320524386639, 2.938529444466333, 2.5329555800478856, 2.479632218161446, 2.4597713402638455, 2.443878591543395]"
41,shallow,reduced,"[9.843694182151868, 2.5736694080933753, 2.4749364309330404, 2.4489166839831475, 2.4261366750369073, 2.41749959787515]"
42,shallow,reduced,"[12.889647709142158, 4.776555244372747, 4.123687750998475, 3.6845639964198913, 3.3374777403907205, 3.0272305592861843, 2.7930797619025935, 2.630963246671304, 2.5350883791190597, 2.490849646339174, 2.4663849780384663, 2.4570853413482303, 2.4430674744648537, 2.426972640615545, 2.4063666832725876]"
43,shallow,reduced,"[4.063160536209989, 2.517028477052783, 2.4510854254627237, 2.427991183825025, 2.4101075009351853]"
44,shallow,reduced,"[11.627746360883625, 3.163485579501129, 2.61153490382206, 2.4998100188866523, 2.477098974576284, 2.4554023936861227, 2.4435833882134124, 2.425706367580745, 2.4167025894158973, 2.4026562836680747, 2.385600544070685, 2.377545648985145]"
